CLAVE;F_CORTE;PARTIDO;REGION;FLUIDO;DIRECCION;ASIGNACION_PRESUPUESTO;P3_IP;LAT_OBRA;LON_OBRA;NOMBRE_DE_LA_OBRA;TIPO_DE_OBRA;FINANCIA;EJECUTA;ESTADO;SUBESTADO;FECHA_LLAMADO_LICITACION;A_INFORMAR;CONTRATISTA;INVERSION_PRESUPUESTADA_SIN_IVA;INVERSION_REAL_ACUMULADA_SIN_IVA;PLAZO;AVANCE;FIRMA_CTO;ORDEN_INICIO;FIN_OBRA;GEOREF_NA;AREA_RESPONSABLE;ACTIVE;HABITANTES;OBSERVACIONES;ESCENARIO_MYM;PI;UBICACION_OBRA;METROS_AGUA;METROS_CLOACA;CONEXIONES_AGUA;CONEXIONES_CLOACA
1316;2021-08-27;La Matanza;OESTE;CLOACA;DDC;EXPANSION;OC70165;-34,71784242;-58,60414988;RED SECUNDARIA CLOACAL PARQUE JUAN 1 NORTE  MODULO 3;RED SECUNDARIA;FONPLATA;C+T;EN PROYECTO;;;;;43022595,7;0;300;0;;;;;;1;1375;;;;;;2700;0;0
1369;2021-08-27;Hurlingham;OESTE;CLOACA;DDC;EXPANSION;OC70252;-34,572764;-58,655417;RED SECUNDARIA CLOACAL BARRIO ROCA 8-10;RED SECUNDARIA;AYSA;C+T;EN PROYECTO;;;;;26000000;0;0;0;;;;;;1;1200;;;;;;1000;0;0
49943;2021-08-27;Ezeiza;SUDOESTE;AGUA;DDC;EXPANSIÓN;SP3;;;RED SECUNDARIA AGUA B° PEQUEÑA VENEZUELA;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;EN ELABORACIÓN;;SI;;16020404,28;0;300;0;;;;PROYECTO PREVISTO;;1;400;;;;;1366;;0;0
49944;2021-08-27;Quilmes;SUDESTE;AGUA;DDC;EXPANSIÓN;SP3;;;RSA BARRIO EL FORTÍN LA RIBERA + AMPLIACIÓN CM LA RIBERA RESTO 3;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;EN ELABORACIÓN;;SI;;26000000;0;300;0;;;;PROYECTO PREVISTO;;1;2500;;;;;3000;;0;0
49945;2021-08-27;Quilmes;SUDESTE;AGUA;DDC;EXPANSIÓN;SP3;;;RED SECUNDARIA DE AGUA BARRIO SPRINGFIELD EX-FINEXCOR M2;RED SECUNDARIA;FONPLATA;A+T;EN PROYECTO;EN ELABORACIÓN;;SI;;26000000;0;300;0;;;;PROYECTO PREVISTO;;1;2500;;;;;6000;;0;0
1037;2021-08-27;Escobar;NORTE;AGUA;DDC;EXPANSION;NA70199;;;RED SECUNDARIA DE AGUA BARRIO SAN LORENZO;RED SECUNDARIA;AYSA;A+T;EN PROYECTO;EN ELABORACION;;;;26000000;0;0;0;;;;;PLANIFICACION;1;2500;;;;;3000;;0;0
1040;2021-08-27;San Martin;NORTE;AGUA;DDC;EXPANSION;NA70204;;;RED SECUNDARIA DE AGUA B° VILLA HIDALGO M3;RED SECUNDARIA;AYSA;A+T;EN PROYECTO;EN ELABORACION;;;;26000000;0;0;0;;;;;PLANIFICACION;1;0;;;;;5000;;0;0
1041;2021-08-27;San Martin;NORTE;AGUA;DDC;EXPANSION;NA70205;;;RED SECUNDARIA DE AGUA B° VILLA HIDALGO M4;RED SECUNDARIA;AYSA;A+T;EN PROYECTO;EN ELABORACION;;;;26000000;0;0;0;;;;;PLANIFICACION;1;0;;;;;5000;;0;0
1232;2021-08-27;Tres de Febrero;OESTE;AGUA;DDC;EXPANSION;OAS009;;;RED SECUNDARIA B° LA ESPERANZA;RED SECUNDARIA;AYSA;A+T;EN PROYECTO;EN ELABORACION;;;;26000000;0;0;0;;;;;PLANIFICACION;1;925;;;;;5000;;0;0
1042;2021-08-27;San Martin;NORTE;AGUA;DDC;EXPANSION;NA70206;;;RED SECUNDARIA DE AGUA B° VILLA HIDALGO M5;RED SECUNDARIA;AYSA;A+T;EN PROYECTO;EN ELABORACION;;;;20000000;0;0;0;;;;;PLANIFICACION;1;0;;;;;5000;;0;0
